package,status,declaration_version,runtime_package,export_signature_pairs,unique_declarations,distinct_exports,generic_declarations,own_generic_declarations,both_polarities_declarations,first_order_potential_declarations,entry_diagnostic_count,retained_diagnostic_count,exclusion_count,identity,container-element,value-to-container,multiple-arguments,constrained-generic,higher-order,overload-or-discriminated,unsupported
"react-google-login-component","extracted-with-diagnostics","0.9.9999","react-google-login-component","8","7","7","5","1","0","0","1","1","0","0","0","0","0","0","0","2","7"
"react-google-maps-loader","extracted-with-diagnostics","4.3.9999","react-google-maps-loader","9","4","9","3","1","0","0","1","1","0","0","0","0","0","0","0","1","4"
"react-google-picker","extracted-with-diagnostics","0.1.9999","react-google-picker","5","5","4","5","1","0","0","1","1","0","0","0","0","0","0","0","2","5"
"react-google-places-suggest","extracted-with-diagnostics","3.12.9999","react-google-places-suggest","24","17","21","4","2","0","0","1","1","0","0","0","0","0","0","0","2","17"
"react-google-recaptcha","extracted-with-diagnostics","2.1.9999","react-google-recaptcha","20","10","18","5","1","0","0","1","1","0","0","0","0","0","0","0","2","10"
"react-google-recaptcha-enterprise","extracted-with-diagnostics","1.0.9999","react-google-recaptcha-enterprise","20","10","18","5","1","0","0","1","1","0","0","0","0","0","0","0","2","10"
"react-gravatar","extracted-with-diagnostics","2.6.9999","react-gravatar","6","3","6","2","1","0","0","1","1","0","0","0","0","0","0","0","0","3"
"react-gtm-module","extracted","2.0.9999","react-gtm-module","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"react-hamburger-menu","extracted-with-diagnostics","0.0.9999","react-hamburger-menu","7","6","6","5","1","0","0","1","1","0","0","0","0","0","0","0","2","6"
"react-hammerjs","extracted-with-diagnostics","1.0.9999","react-hammerjs","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"react-headroom","extracted-with-diagnostics","3.2.9999","react-headroom","4","4","4","3","1","0","0","1","1","0","0","0","0","0","0","0","0","4"
"react-helmet","extracted-with-diagnostics","6.1.9999","react-helmet","36","11","34","2","0","0","0","1","1","0","0","0","0","0","0","0","2","11"
"react-helmet-with-visor","extracted-with-diagnostics","5.4.9999","react-helmet-with-visor","52","17","49","5","1","0","0","1","1","0","0","0","0","0","0","0","2","17"
"react-highcharts","extracted-with-diagnostics","16.0.9999","react-highcharts","7","4","7","3","1","0","0","2","2","0","0","0","0","0","0","0","0","4"
