package,status,export_signature_pairs,selected_entries,extracted_entries,missing_entries,diagnostics
atlassian-connect-js,extracted,0,1,1,0,0
atlassian-crowd-client,extracted,86,1,1,0,0
atmosphere.js,extracted,0,1,1,0,0
atna-audit,extracted-with-diagnostics,14,1,1,0,5
atob,extracted,1,1,1,0,0
atob-lite,extracted,1,1,1,0,0
atom,extracted-with-diagnostics,2987,1,1,0,5
atom-keymap,extracted,3,1,1,0,0
atom-mocha-test-runner,extracted-with-diagnostics,2,1,1,0,5
atom__watcher,extracted,8,1,1,0,0
atomic-sleep,extracted,1,1,1,0,0
atpl,extracted,9,1,1,0,0
atvlegacycontentkit,extracted-with-diagnostics,0,1,1,0,3
audio-context,extracted,1,1,1,0,0
audio-play,extracted,3,1,1,0,0
audiobuffer-to-wav,extracted,1,1,1,0,0
audiosprite,extracted,2,1,1,0,0
auth-header,extracted,3,1,1,0,0
auth0,extracted,489,1,1,0,0
auth0-js,extracted,91,1,1,0,0
auth0-lock,extracted,48,1,1,0,0
auth0.widget,extracted,0,1,1,0,0
authenticator,extracted,4,1,1,0,0
authorizenet,extracted,4013,1,1,0,0
auto-launch,extracted,6,1,1,0,0
auto-sni,extracted-with-diagnostics,1,1,1,0,5
autobahn,extracted,115,1,1,0,0
autocannon,extracted-with-diagnostics,47,1,1,0,5
autokanji,extracted,2,1,1,0,0
autoprefixer-core,extracted,3,1,1,0,0
autosize,extracted,3,1,1,0,0
autosuggest-highlight,extracted,0,1,1,0,0
autosuggest-trie,extracted,1,1,1,0,0
av,extracted,380,1,1,0,0
avocat,extracted-with-diagnostics,1,1,1,0,2
await-promises,extracted,5,1,1,0,0
await-timeout,extracted,6,1,1,0,0
awesome-notifications,extracted,57,1,1,0,0
awesomplete,extracted,29,1,1,0,0
aws-api-gateway-client,extracted,3,1,1,0,0
aws-cloudfront-function,extracted,4,1,1,0,0
aws-greengrass-core-sdk,extracted-with-diagnostics,211,1,1,0,5
aws-iot-device-sdk,extracted-with-diagnostics,314,1,1,0,6
aws-kcl,extracted-with-diagnostics,24,1,1,0,5
aws-lambda,extracted-with-diagnostics,107,1,1,0,1
aws-lambda-fastify,extracted-with-diagnostics,1,1,1,0,6
aws-lambda-http-server,extracted-with-diagnostics,1,1,1,0,1
aws-param-store,extracted-with-diagnostics,16,1,1,0,5
aws-regions,extracted,2,1,1,0,0
aws-sdk2-types,extracted-with-diagnostics,1841,1,1,0,5
aws-serverless-express,extracted-with-diagnostics,4,1,1,0,5
aws-synthetics-puppeteer,extracted-with-diagnostics,0,1,1,0,7
aws4,extracted-with-diagnostics,19,1,1,0,5
axe-webdriverjs,extracted-with-diagnostics,12,1,1,0,6
axel,extracted,0,1,1,0,0
axios-cancel,extracted-with-diagnostics,1,1,1,0,1
axios-concurrency,extracted-with-diagnostics,11,1,1,0,1
axios-curlirize,extracted-with-diagnostics,1,1,1,0,1
axios-token-interceptor,extracted-with-diagnostics,5,1,1,0,2
axon,extracted-with-diagnostics,842,1,1,0,5
azdata,extracted,1016,1,1,0,0
azure-function-log-intercept,extracted-with-diagnostics,1,1,1,0,1
azure-mobile-services-client,extracted,0,1,1,0,0
azure-sb,extracted-with-diagnostics,360,1,1,0,5
b-spline,extracted,1,1,1,0,0
b2a,extracted,4,1,1,0,0
b4a,extracted-with-diagnostics,33,1,1,0,5
b64-lite,extracted,5,1,1,0,0
b_,extracted,7,1,1,0,0
babar,extracted,1,1,1,0,0
babel-code-frame,extracted,1,1,1,0,0
babel-core,extracted,664,1,1,0,0
babel-generator,extracted,1,1,1,0,0
babel-plugin-macros,extracted-with-diagnostics,36,1,1,0,8
babel-plugin-react-docgen,extracted,4,1,1,0,0
babel-plugin-react-html-attrs,extracted-with-diagnostics,940,1,1,0,1
babel-plugin-react-pug,extracted,0,1,1,0,0
babel-plugin-syntax-jsx,extracted,1,1,1,0,0
babel-template,extracted,1,1,1,0,0
babel-traverse,extracted,6531,1,1,0,0
babel-types,extracted,657,1,1,0,0
babel__code-frame,extracted,3,1,1,0,0
babel__core,extracted-with-diagnostics,4806,1,1,0,8
babel__generator,extracted-with-diagnostics,4,1,1,0,1
babel__helper-module-imports,extracted-with-diagnostics,12,1,1,0,8
babel__helper-plugin-utils,extracted-with-diagnostics,1,1,1,0,8
babel__helper-validator-identifier,extracted,8,1,1,0,0
babel__plugin-transform-runtime,extracted,0,1,1,0,0
babel__preset-env,extracted,0,1,1,0,0
babel__register,extracted-with-diagnostics,1,1,1,0,8
babel__standalone,extracted-with-diagnostics,39,1,1,0,10
babel__template,extracted-with-diagnostics,50,1,1,0,2
babel__traverse,extracted-with-diagnostics,7239,1,1,0,2
babelify,extracted-with-diagnostics,1905,1,1,0,5
babylon,extracted,2,1,1,0,0
babylon-walk,extracted,8,1,1,0,0
backblaze-b2,extracted-with-diagnostics,50,1,1,0,5
backbone,extracted,1353,1,1,0,0
backbone-associations,extracted,0,1,1,0,0
backbone-fetch-cache,extracted,20,1,1,0,0
backbone-relational,extracted-with-diagnostics,0,1,1,0,10
backbone.layoutmanager,extracted,0,1,1,0,0
backbone.localstorage,extracted,0,1,1,0,0
backbone.marionette,extracted,2431,1,1,0,0
backbone.paginator,extracted,0,1,1,0,0
backbone.radio,extracted,69,1,1,0,0
backgrid,extracted-with-diagnostics,6873,1,1,0,18
backo2,extracted,10,1,1,0,0
backoff,extracted-with-diagnostics,239,1,1,0,5
backstopjs,extracted,1,1,1,0,0
badwords,extracted,0,1,1,0,0
bagpipes,extracted,17,1,1,0,0
baidu-aip-sdk,extracted,332,1,1,0,0
baidu-app,extracted,0,1,1,0,0
baidumap-web-sdk,extracted,0,1,1,0,0
bakong-khqr,extracted,6,1,1,0,0
balanced-match,extracted,2,1,1,0,0
bandagedbd__bdapi,extracted-with-diagnostics,0,1,1,0,1
barbellweights,extracted,4,1,1,0,0
barco-eventmaster,extracted,115,1,1,0,0
barcode,extracted-with-diagnostics,1,1,1,0,5
bardjs,extracted-with-diagnostics,0,1,1,0,1
baretest,extracted,1,1,1,0,0
base-64,extracted,2,1,1,0,0
base16,extracted,0,1,1,0,0
base32-encoding,extracted-with-diagnostics,5,1,1,0,5
base45,extracted-with-diagnostics,2,1,1,0,5
base58,extracted,4,1,1,0,0
base58-random,extracted,8,1,1,0,0
base62-random,extracted,8,1,1,0,0
base64-async,extracted-with-diagnostics,4,1,1,0,5
base64-emoji,extracted-with-diagnostics,3,1,1,0,5
base64-stream,extracted-with-diagnostics,3804,1,1,0,5
base64-url,extracted,4,1,1,0,0
